Z,sSFR_0_1Gyr_percentile50,mass_stellar_percentile50,RA,DEC
0.0855,-12.02,10.56,139.9244453,2.3981335
0.0886,-9.525,10.75,139.9491534,2.5287316
0.0565,-11.02,10.51,140.2406613,2.5343816
0.084,-10.92,10.43,140.3624242,2.5984322
0.0844,-10.37,10.22,140.3893284,2.4966809
0.084,-12.02,10.89,140.3902711,2.5845032
0.0858,-12.07,11.02,140.5035531,2.5878334
0.0876,-12.12,11.02,140.5926051,2.585943
0.0868,-11.87,10.58,140.591847,2.5871701
0.0598,-10.82,10.52,129.0771788,2.1218792
0.0506,-9.425,10.46,130.1315778,2.1881609
0.0959,-9.775,10.63,130.5744296,2.2065061
0.0624,-11.62,10.22,130.7198553,2.2148491
0.0509,-11.82,10.59,131.031801,2.2825927
0.0511,-11.22,10.58,131.1333073,2.2965282
0.0494,-10.62,10.39,131.1867607,2.2934993
0.0507,-10.67,10.5,131.2795904,2.247432
0.0773,-10.42,10.22,131.3074593,2.3238894
0.0776,-11.72,10.31,131.3383369,2.2357371
0.0775,-11.67,10.8,131.2572058,2.2966599
0.0984,-10.27,10.22,135.0866602,2.4553557
0.0549,-12.37,10.43,137.1922645,2.5334796
0.0513,-12.37,10.6,137.4267649,2.6754018
0.0981,-12.22,10.64,137.5774728,2.6131428
0.097,-11.67,10.5,137.7885355,2.6991777
0.0974,-10.82,10.46,138.3354151,2.5997858
0.0907,-10.57,10.52,138.4452316,2.6923536
0.0999,-11.52,10.74,138.5268457,2.7564388
0.0906,-10.22,10.49,138.6311813,2.7055143
0.0901,-10.27,10.49,138.9354648,2.694717
0.0857,-11.12,10.73,139.6779974,2.6914718
0.0564,-12.57,10.32,139.7568691,2.7572977
